first_name,last_name,email,Remaining_Goal_Amount
Marcelino,Haber,mhaber@gmail.com,153288.00
Waylon,Jans,wjans@live.com,151747.00
Katlyn,Mccray,kmccray@yandex.com,98164.00
Jacqulyn,Mccullough,jmccullough@protonmail.com,88154.00
Inaya,Barton,ibarton@yandex.com,72323.00
Said,Johnson,sjohnson@protonmail.com,71872.00
Modesto,Massicotte,mmassicotte@protonmail.com,41198.00
Udalrico,Guillon,uguillon@yahoo.com,40291.00
Maiwenn,Cirigliano,mcirigliano@outlook.com,8362.00
Alberto,Ruel,aruel@live.com,3768.00
Clemente,Harrison,charrison@outlook.com,3739.00
Maxwell,Crawford,mcrawford@gmail.com,1559.00
Farfalla,Levy,flevy@outlook.com,1503.00
Monte,Wade,mwade@yahoo.com,426.00
